partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;gender;education type;locality;religion;how often;generation;last_ev
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;m;professional;village;no;never;2g;child
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;village;yes;sev_a_year;5g;div
>;n;n;n;n;>;>;<;<;<;<;<;<;n;n;n;>;>;n;n;>;>;n;>;>;>;>;<;m;professional;village;no;never;3g;work
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;no;never;11g;partner
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;city;yes;never;8g;child
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;m;higher;city;yes;never;3g;partner
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;<;<;m;professional;village;yes;never;7g;partner
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;6g;sep
>;n;n;>;n;n;n;<;<;>;<;<;<;n;>;n;n;n;>;n;n;n;<;<;<;n;n;n;m;higher;city;yes;sev_a_year;11g;work
>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;yes;never;4g;sep
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;m;professional;city;yes;never;8g;marriage
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;yes;never;7g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;3g;sep
n;n;n;n;>;n;n;n;n;n;>;n;n;n;n;>;n;n;n;>;n;n;>;n;n;<;<;n;m;higher;village;yes;never;10g;education
n;n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;>;>;n;<;<;<;m;general;city;no;never;9g;education
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;professional;city;yes;never;2g;child
<;<;<;<;>;<;<;<;<;<;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;m;general;village;yes;never;4g;br
<;<;<;<;<;<;<;<;<;<;<;<;>;<;<;<;<;>;<;<;<;>;<;<;>;<;>;>;m;professional;city;no;never;8g;sep
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;yes;sev_a_year;6g;marriage
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;sev_a_year;10g;sep
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;yes;never;10g;education
<;<;<;>;>;>;>;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;m;higher;city;yes;min_once_a_month;8g;marriage
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;yes;never;7g;child
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;general;village;yes;never;7g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;city;yes;sev_a_year;6g;child
>;n;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;m;professional;village;yes;never;9g;partner
>;<;>;<;>;<;>;<;<;<;<;<;<;>;n;>;>;>;<;>;<;<;>;>;>;<;<;>;m;professional;village;no;never;4g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;yes;min_once_a_month;8g;sep
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;m;professional;city;yes;sev_a_year;8g;marriage
<;<;<;>;>;<;<;<;<;>;>;<;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;city;yes;sev_a_year;8g;div
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;m;higher;city;yes;never;11g;marriage
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;professional;village;yes;never;5g;sep
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;yes;sev_a_year;10g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;professional;city;yes;never;5g;child
n;n;n;>;n;>;n;n;n;>;n;>;n;n;>;n;>;n;>;n;>;n;<;<;<;>;n;<;m;professional;city;yes;sev_a_year;11g;work
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;town;yes;sev_a_year;9g;child
>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;m;higher;town;no;never;2g;work
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;yes;sev_a_year;6g;sep
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;no;never;8g;child
>;n;n;n;n;>;>;<;<;<;<;>;<;n;n;n;>;>;n;n;>;>;n;>;>;>;>;<;m;professional;city;yes;sev_a_year;2g;work
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;7g;marriage
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;village;yes;never;7g;education
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;never;4g;child
<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;village;yes;never;7g;child
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;professional;city;yes;sev_a_year;5g;education
n;n;n;n;>;n;n;n;n;n;>;n;n;n;n;>;n;n;n;>;n;n;>;n;n;<;<;n;m;higher;village;yes;never;10g;education
<;<;<;>;>;>;<;>;<;>;>;>;<;<;>;>;>;<;>;>;>;n;<;>;<;>;<;<;m;general;city;yes;sev_a_year;7g;child
<;<;<;<;<;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;general;village;yes;never;2g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;m;higher;village;yes;never;2g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;9g;child
>;n;n;n;n;>;>;<;<;<;<;>;<;n;n;n;>;>;n;n;>;>;n;>;>;>;>;<;m;higher;city;yes;never;7g;work
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;m;professional;village;yes;never;11g;partner
<;<;<;>;>;>;>;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;m;higher;city;yes;min_once_a_month;8g;marriage
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;m;general;city;yes;never;5g;div
>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;higher;city;yes;sev_a_year;3g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;never;4g;child
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;m;professional;city;yes;sev_a_week;8g;div
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;m;professional;city;no;never;3g;br
>;n;>;>;>;>;>;<;<;<;<;=;<;>;>;>;>;>;>;>;>;>;<;>;>;>;>;<;m;higher;village;yes;min_once_a_month;8g;partner
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;village;yes;never;3g;education
>;n;>;>;>;>;>;<;<;<;<;=;<;>;>;>;>;>;>;>;>;>;<;>;>;>;>;<;m;higher;village;yes;min_once_a_month;8g;partner
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;m;professional;city;no;never;10g;br
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;yes;never;8g;sep
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;m;professional;city;no;never;5g;br
>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;higher;city;yes;sev_a_year;8g;child
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;city;no;sev_a_year;9g;education
>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;city;yes;never;5g;div
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;general;city;yes;sev_a_year;2g;education
>;n;n;n;>;>;>;<;<;<;<;=;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;m;higher;town;yes;sev_a_year;10g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;city;yes;sev_a_year;8g;sep
<;<;<;<;<;>;<;>;<;>;>;>;<;<;>;<;>;<;>;>;>;n;<;>;<;>;<;<;m;higher;city;yes;sev_a_year;9g;child
>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;m;professional;city;yes;sev_a_year;6g;education
<;<;<;>;>;<;<;<;<;>;>;<;=;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;m;higher;city;yes;sev_a_year;9g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;m;general;city;no;never;8g;child
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;m;general;city;yes;never;5g;marriage
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;yes;sev_a_year;8g;education
>;n;n;n;n;>;>;<;<;<;<;>;<;n;n;n;>;>;n;n;>;>;n;>;>;>;>;<;m;professional;city;yes;sev_a_year;2g;education
>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;higher;city;yes;sev_a_year;6g;child
>;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;yes;sev_a_year;6g;div
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;sev_a_year;6g;child
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;general;city;yes;never;2g;education
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;village;yes;never;8g;child
>;n;n;>;>;n;n;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;m;professional;village;yes;sev_a_year;6g;sep
>;<;=;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;village;yes;never;6g;br
<;<;<;<;<;<;<;<;<;<;<;=;=;=;<;>;>;>;<;>;>;>;>;>;>;>;>;=;m;higher;city;yes;never;9g;education
>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;=;<;m;general;city;yes;sev_a_year;10g;education
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;professional;city;yes;never;2g;child
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;=;>;<;>;<;<;m;professional;village;yes;never;6g;partner
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;general;village;yes;sev_a_year;3g;sep
>;n;n;n;n;>;>;<;<;<;<;<;<;n;n;n;>;>;n;n;>;>;n;>;>;>;>;<;m;professional;village;no;never;3g;work
>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;m;general;city;yes;sev_a_year;2g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;professional;town;yes;min_once_a_month;4g;sep
<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;city;yes;never;1g;education
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;city;yes;sev_a_year;5g;child
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;city;yes;never;8g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;professional;city;yes;sev_a_year;7g;child
<;<;<;<;<;>;<;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;m;professional;city;yes;sev_a_year;7g;br
>;n;n;n;>;>;n;<;<;<;>;>;<;n;n;>;>;n;n;>;>;n;>;>;n;<;<;<;m;professional;city;yes;never;2g;education
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;no;never;7g;marriage
>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;m;professional;city;yes;never;2g;education
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;professional;town;yes;never;5g;marriage
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;village;no;never;6g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;village;no;never;7g;child
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;city;yes;never;6g;child
n;n;n;>;n;n;n;n;n;>;n;n;n;n;>;n;n;n;>;n;n;n;<;<;<;n;n;n;m;professional;city;yes;never;10g;work
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;m;professional;village;yes;sev_a_year;5g;partner
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;no;never;10g;child
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;<;<;<;<;<;m;professional;village;yes;never;7g;partner
<;<;<;<;<;>;<;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;m;general;village;yes;sev_a_year;8g;work
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;<;<;m;professional;city;yes;sev_a_year;6g;partner
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;higher;city;yes;sev_a_year;8g;education
>;n;n;>;>;n;n;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;m;general;village;yes;never;8g;child
<;<;<;>;>;>;<;<;<;>;>;>;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;higher;city;yes;sev_a_year;9g;div
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;general;city;yes;never;3g;sep
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;city;no;never;9g;education
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;m;general;village;no;never;2g;marriage
<;<;<;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;m;higher;city;yes;sev_a_year;7g;marriage
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;general;town;yes;sev_a_year;8g;child
>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;m;professional;city;yes;sev_a_year;2g;sep
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;m;general;city;yes;never;5g;div
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;general;city;no;never;2g;sep
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;city;yes;sev_a_year;7g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;general;village;yes;sev_a_year;6g;child
<;<;<;>;<;>;<;<;<;>;<;>;<;=;>;<;>;<;>;<;>;<;<;<;<;>;>;<;m;professional;village;yes;sev_a_year;10g;work
<;<;<;<;>;<;<;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;general;city;yes;sev_a_year;8g;education
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;no;never;3g;education
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;city;yes;sev_a_year;6g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;general;village;no;never;2g;child
<;<;<;<;<;=;<;>;n;>;n;>;n;<;<;<;>;<;>;n;>;n;<;>;<;>;n;<;m;professional;city;no;never;10g;work
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;=;<;>;<;<;m;professional;city;no;never;6g;partner
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;no;never;3g;br
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;village;yes;never;6g;education
<;<;<;>;>;>;<;>;<;>;>;>;<;<;>;>;>;<;>;>;>;>;<;>;<;>;<;<;m;professional;village;no;never;9g;div
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;town;yes;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;city;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;=;<;>;<;<;m;professional;village;yes;never;9g;child
>;n;n;n;>;>;>;<;<;<;<;=;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;professional;city;yes;sev_a_year;2g;education
>;n;n;>;>;n;n;<;<;>;<;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;m;general;village;yes;never;8g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;never;4g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;city;yes;never;5g;child
<;<;<;<;<;>;<;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;m;general;village;yes;sev_a_year;8g;work
<;<;<;<;>;>;<;<;<;<;>;>;<;=;<;>;>;<;<;>;>;<;>;>;n;<;<;<;m;professional;city;yes;never;6g;education
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;city;no;never;3g;child
<;<;<;<;<;<;<;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;<;<;>;<;>;>;m;higher;city;no;sev_a_year;2g;sep
>;n;n;>;>;>;n;<;<;>;<;>;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;m;general;city;no;never;7g;child
>;<;<;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;m;general;city;yes;sev_a_year;1g;div
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;yes;never;6g;child
>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;professional;city;yes;never;9g;sep
>;n;>;>;>;n;>;<;<;>;>;<;<;>;>;>;n;>;>;>;<;>;<;<;<;<;<;>;m;higher;city;no;never;9g;sep
<;<;<;>;>;<;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;higher;city;yes;min_once_a_month;11g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;professional;city;yes;min_once_a_month;11g;div
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;city;yes;never;7g;child
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;m;professional;city;yes;sev_a_year;9g;sep
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;m;professional;city;no;never;3g;div
<;<;<;<;>;>;<;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;>;>;n;<;<;<;m;higher;city;yes;sev_a_year;10g;education
n;n;n;n;n;>;n;n;n;n;n;>;n;n;n;n;>;n;n;n;>;n;n;>;n;>;n;<;m;professional;village;no;never;10g;education
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;city;no;never;7g;child
>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;m;professional;city;yes;never;2g;education
<;<;<;<;<;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;general;village;yes;never;2g;marriage
<;<;<;<;>;>;<;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;yes;sev_a_year;5g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;professional;city;yes;sev_a_year;7g;child
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;no;never;9g;sep
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;general;city;yes;never;10g;child
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;m;higher;city;yes;sev_a_year;10g;sep
>;n;n;n;>;>;n;<;<;<;>;>;<;n;n;>;>;n;n;>;>;n;>;>;n;<;<;<;m;professional;city;yes;never;2g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;town;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;city;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;m;higher;village;yes;never;2g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;professional;city;yes;sev_a_year;7g;child
<;<;<;<;<;<;<;>;<;>;>;<;>;<;<;>;<;<;>;>;>;>;>;<;>;<;<;>;m;professional;town;yes;sev_a_year;9g;div
<;<;<;>;>;>;>;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;m;higher;city;yes;min_once_a_month;8g;marriage
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;city;yes;sev_a_year;7g;education
<;<;<;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;m;higher;city;yes;sev_a_year;7g;marriage
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;village;yes;never;1g;child
<;<;<;<;>;>;<;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;m;higher;city;no;sev_a_year;2g;br
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;=;<;<;m;professional;city;no;never;1g;child
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;higher;village;yes;never;7g;education
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;village;yes;never;8g;child
<;<;<;>;>;=;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;m;professional;city;no;never;7g;br
>;<;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;>;>;>;>;<;>;<;>;<;<;m;professional;city;yes;sev_a_year;5g;br
>;<;>;<;>;<;>;<;<;<;<;<;<;>;n;>;>;>;<;>;<;<;>;>;>;<;<;>;m;professional;village;no;never;4g;education
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;m;professional;village;yes;never;6g;marriage
>;n;n;n;>;n;>;<;<;<;>;<;<;n;n;>;n;>;n;>;n;>;>;n;>;<;<;>;m;higher;city;yes;never;10g;education
